aids_diag_apids,cityfip,year
70,2000,1991
90,2020,1991
573,2080,1991
670,2160,1991
51,2320,1991
901,2680,1991
20,2760,1991
258,2800,1991
95,2840,1991
56,2960,1991
71,3000,1991
135,3120,1991
116,3160,1991
60,3240,1991
266,3283,1991
152,3320,1991
1464,3360,1991
244,3480,1991
355,3600,1991
450,3640,1991
399,3760,1991
49,3840,1991
260,4120,1991
95,4400,1991
3845,4480,1991
118,4520,1991
29,4880,1991
148,4920,1991
1739,5000,1991
242,5015,1991
139,5080,1991
306,5120,1991
113,5160,1991
206,5190,1991
140,5360,1991
520,5380,1991
523,5483,1991
580,5560,1991
8774,5600,1991
1041,5640,1991
211,5720,1991
685,5775,1991
150,5880,1991
61,5920,1991
542,5945,1991
427,5960,1991
1381,6160,1991
434,6200,1991
175,6280,1991
297,6440,1991
146,6483,1991
164,6640,1991
170,6760,1991
713,6780,1991
168,6840,1991
315,6920,1991
397,7040,1991
151,7160,1991
260,7240,1991
867,7320,1991
2774,7360,1991
227,7400,1991
1403,7440,1991
110,7510,1991
31,7560,1991
614,7600,1991
114,8003,1991
69,8120,1991
80,8160,1991
45,8200,1991
637,8280,1991
47,8400,1991
120,8520,1991
108,8560,1991
116,8720,1991
75,8735,1991
1697,8840,1991
477,8960,1991
75,9040,1991
89,9160,1991
22,9320,1991
58,0080,1992
192,0160,1992
135,0200,1992
106,0240,1992
49,0440,1992
1500,0520,1992
459,0640,1992
119,0680,1992
1462,0720,1992
146,0760,1992
537,0875,1992
192,1000,1992
1651,1123,1992
153,1280,1992
169,1440,1992
244,1520,1992
2244,1600,1992
241,1640,1992
369,1680,1992
40,1720,1992
219,1760,1992
282,1840,1992
1315,1920,1992
125,2000,1992
100,2020,1992
654,2080,1992
953,2160,1992
102,2320,1992
1120,2680,1992
19,2760,1992
340,2800,1992
129,2840,1992
64,2960,1992
98,3000,1992
165,3120,1992
137,3160,1992
112,3240,1992
410,3283,1992
177,3320,1992
1912,3360,1992
339,3480,1992
536,3600,1992
533,3640,1992
477,3760,1992
82,3840,1992
340,4120,1992
121,4400,1992
4514,4480,1992
150,4520,1992
28,4880,1992
296,4920,1992
2102,5000,1992
297,5015,1992
235,5080,1992
395,5120,1992
141,5160,1992
284,5190,1992
239,5360,1992
635,5380,1992
701,5483,1992
648,5560,1992
11010,5600,1992
1431,5640,1992
324,5720,1992
914,5775,1992
194,5880,1992
81,5920,1992
597,5945,1992
680,5960,1992
1959,6160,1992
586,6200,1992
206,6280,1992
499,6440,1992
180,6483,1992
200,6640,1992
298,6760,1992
875,6780,1992
249,6840,1992
427,6920,1992
582,7040,1992
182,7160,1992
374,7240,1992
1191,7320,1992
3318,7360,1992
393,7400,1992
1579,7440,1992
161,7510,1992
54,7560,1992
790,7600,1992
189,8003,1992
72,8120,1992
160,8160,1992
91,8200,1992
1012,8280,1992
83,8400,1992
192,8520,1992
148,8560,1992
174,8720,1992
97,8735,1992
2148,8840,1992
808,8960,1992
69,9040,1992
207,9160,1992
37,9320,1992
65,0080,1993
182,0160,1993
115,0200,1993
71,0240,1993
34,0440,1993
1522,0520,1993
487,0640,1993
100,0680,1993
1642,0720,1993
182,0760,1993
560,0875,1993
155,1000,1993
1477,1123,1993
207,1280,1993
162,1440,1993
192,1520,1993
2454,1600,1993
251,1640,1993
382,1680,1993
50,1720,1993
197,1760,1993
256,1840,1993
1149,1920,1993
110,2000,1993
124,2020,1993
585,2080,1993
791,2160,1993
105,2320,1993
1286,2680,1993
23,2760,1993
377,2800,1993
169,2840,1993
83,2960,1993
81,3000,1993
176,3120,1993
174,3160,1993
86,3240,1993
595,3283,1993
223,3320,1993
1724,3360,1993
317,3480,1993
396,3600,1993
786,3640,1993
328,3760,1993
70,3840,1993
368,4120,1993
100,4400,1993
3917,4480,1993
151,4520,1993
27,4880,1993
323,4920,1993
2464,5000,1993
370,5015,1993
209,5080,1993
307,5120,1993
76,5160,1993
361,5190,1993
275,5360,1993
672,5380,1993
848,5483,1993
654,5560,1993
12083,5600,1993
2171,5640,1993
413,5720,1993
805,5775,1993
160,5880,1993
65,5920,1993
591,5945,1993
537,5960,1993
1867,6160,1993
488,6200,1993
294,6280,1993
431,6440,1993
263,6483,1993
218,6640,1993
257,6760,1993
820,6780,1993
280,6840,1993
373,6920,1993
480,7040,1993
132,7160,1993
475,7240,1993
1141,7320,1993
2493,7360,1993
394,7400,1993
1595,7440,1993
135,7510,1993
34,7560,1993
711,7600,1993
226,8003,1993
94,8120,1993
155,8160,1993
96,8200,1993
848,8280,1993
58,8400,1993
148,8520,1993
117,8560,1993
130,8720,1993
86,8735,1993
2294,8840,1993
602,8960,1993
78,9040,1993
210,9160,1993
37,9320,1993
47,0080,1994
179,0160,1994
84,0200,1994
91,0240,1994
32,0440,1994
1580,0520,1994
383,0640,1994
92,0680,1994
1503,0720,1994
180,0760,1994
494,0875,1994
168,1000,1994
1270,1123,1994
194,1280,1994
131,1440,1994
214,1520,1994
2280,1600,1994
201,1640,1994
344,1680,1994
47,1720,1994
188,1760,1994
195,1840,1994
1194,1920,1994
92,2000,1994
106,2020,1994
497,2080,1994
735,2160,1994
90,2320,1994
1240,2680,1994
30,2760,1994
333,2800,1994
111,2840,1994
94,2960,1994
80,3000,1994
184,3120,1994
161,3160,1994
108,3240,1994
395,3283,1994
166,3320,1994
1463,3360,1994
242,3480,1994
375,3600,1994
668,3640,1994
271,3760,1994
77,3840,1994
354,4120,1994
94,4400,1994
3646,4480,1994
164,4520,1994
37,4880,1994
274,4920,1994
2351,5000,1994
365,5015,1994
185,5080,1994
304,5120,1994
120,5160,1994
273,5190,1994
231,5360,1994
586,5380,1994
595,5483,1994
630,5560,1994
11977,5600,1994
1602,5640,1994
398,5720,1994
726,5775,1994
116,5880,1994
62,5920,1994
493,5945,1994
592,5960,1994
1705,6160,1994
455,6200,1994
265,6280,1994
422,6440,1994
211,6483,1994
174,6640,1994
245,6760,1994
667,6780,1994
290,6840,1994
297,6920,1994
417,7040,1994
125,7160,1994
383,7240,1994
996,7320,1994
2133,7360,1994
281,7400,1994
1402,7440,1994
145,7510,1994
40,7560,1994
609,7600,1994
187,8003,1994
62,8120,1994
108,8160,1994
87,8200,1994
712,8280,1994
54,8400,1994
139,8520,1994
76,8560,1994
131,8720,1994
63,8735,1994
2222,8840,1994
702,8960,1994
74,9040,1994
254,9160,1994
34,9320,1994
60,0080,1995
170,0160,1995
119,0200,1995
110,0240,1995
39,0440,1995
1498,0520,1995
331,0640,1995
127,0680,1995
1506,0720,1995
188,0760,1995
478,0875,1995
156,1000,1995
1168,1123,1995
207,1280,1995
139,1440,1995
178,1520,1995
2011,1600,1995
189,1640,1995
316,1680,1995
48,1720,1995
177,1760,1995
177,1840,1995
1070,1920,1995
69,2000,1995
106,2020,1995
443,2080,1995
754,2160,1995
118,2320,1995
1154,2680,1995
33,2760,1995
256,2800,1995
128,2840,1995
69,2960,1995
70,3000,1995
137,3120,1995
133,3160,1995
